Date,SXR8.DE,EXW1.DE,EUNH.DE
2023-09-15,437.14,39.7621,99.426
2023-09-18,436.05,39.3282,98.9256
2023-09-19,432.89,39.3097,98.8461
2023-09-20,434.07,39.679,99.1595
2023-09-21,427.31,39.0789,98.8508
2023-09-22,426.97,38.9958,98.8041
2023-09-25,427.13,38.6218,98.4533
2023-09-26,423.49,38.2525,98.3551
2023-09-27,424.54,38.2341,98.1026
2023-09-28,425.47,38.5434,97.359
2023-09-29,426.27,38.6542,98.0371
2023-10-02,427.33,38.3171,97.7519
2023-10-03,422.38,37.9294,97.4105
2023-10-04,421.47,37.9709,97.4152
2023-10-05,420.45,37.9986,97.663
2023-10-06,422.71,38.4233,97.6022
2023-10-09,426.53,38.1186,98.3411
2023-10-10,431.68,38.9819,98.444
2023-10-11,429.15,38.9727,99.0005
2023-10-12,433.47,38.9173,98.4393
2023-10-13,431.86,38.3171,98.7059
2023-10-16,433.97,38.4926,98.3879
2023-10-17,432.68,38.511,97.8594
2023-10-18,431.01,38.0586,97.4993
2023-10-19,426.13,37.9294,97.5788
2023-10-20,418.19,37.3754,97.7612
2023-10-23,416.58,37.5139,98.0839
2023-10-24,418.92,37.6893,98.1306
2023-10-25,416.09,37.7401,97.7378
2023-10-26,412.99,37.537,98.0044
2023-10-27,409.31,37.2138,98.2242
2023-10-30,409.2,37.3615,98.4019
2023-10-31,413.18,37.6154,98.5328
2023-11-01,418.17,37.9617,98.8181
2023-11-02,423.98,38.7003,99.3232
2023-11-03,425.58,38.728,99.8282
2023-11-06,425.04,38.5711,99.1782
2023-11-07,429.12,38.5341,99.6458
2023-11-08,427.67,38.8019,100.1041
2023-11-09,428.49,39.2543,99.8142
2023-11-10,429.13,38.945,99.4821
2023-11-13,431.89,39.2774,99.4962
2023-11-14,434.07,39.8406,100.3239
2023-11-15,435.17,40.0345,100.1368
2023-11-16,433.26,39.9052,100.539
2023-11-17,433.55,40.2561,100.4736
2023-11-20,434.04,40.3023,100.5156
2023-11-21,434.28,40.2007,100.8851
2023-11-22,438.83,40.4315,100.8243
2023-11-23,438.09,40.5054,100.4876
2023-11-24,436.51,40.607,100.3239
2023-11-27,436.28,40.4408,100.9693
2023-11-28,435.05,40.3807,101.2405
2023-11-29,435.5,40.6023,101.7456
2023-11-30,436.81,40.6854,101.5725
2023-12-01,441.24,40.9901,102.3628
2023-12-04,441.24,40.9901,102.3628
